,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,RushDirection,Time Left
0,2020122602,2020-12-26,2,9,44,LV,MIA,2,10,82,-9,SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,584.0
1,2020122602,2020-12-26,2,9,3,LV,MIA,3,19,73,18,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,543.0
2,2020122500,2020-12-25,3,1,17,MIN,NO,3,9,67,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,1,0,,977.0
3,2020122500,2020-12-25,3,1,12,MIN,NO,1,10,82,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,1,0,,972.0
4,2020122500,2020-12-25,3,1,6,MIN,NO,1,1,99,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,966.0
5,2020122600,2020-12-26,2,13,48,TB,DET,2,6,53,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,828.0
6,2020122600,2020-12-26,2,13,24,TB,DET,1,10,65,12,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,804.0
7,2020122601,2020-12-26,1,13,53,ARI,SF,1,10,61,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1733.0
9,2020122702,2020-12-27,4,4,14,DEN,LAC,1,15,58,-1,SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,254.0
10,2020122702,2020-12-27,4,3,34,DEN,LAC,2,16,57,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,214.0
11,2020122702,2020-12-27,4,2,52,DEN,LAC,3,10,63,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,172.0
13,2020122602,2020-12-26,3,10,38,MIA,LV,2,8,90,10,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,0,0,,1538.0
14,2020122602,2020-12-26,4,10,40,LV,MIA,2,8,57,0,UNDER CENTER,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,640.0
15,2020122602,2020-12-26,4,5,33,MIA,LV,1,10,65,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,0,0,,333.0
17,2020122704,2020-12-27,1,1,19,NYJ,CLE,2,1,55,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,979.0
18,2020122704,2020-12-27,1,0,42,NYJ,CLE,1,10,57,43,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,0,0,,942.0
19,2020122704,2020-12-27,3,7,41,NYJ,CLE,1,10,51,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,1361.0
20,2020122704,2020-12-27,3,7,35,NYJ,CLE,2,10,51,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1355.0
21,2020122704,2020-12-27,3,6,49,NYJ,CLE,3,11,100,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1309.0
22,2020122704,2020-12-27,4,2,24,CLE,NYJ,1,10,64,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,144.0
23,2020122704,2020-12-27,4,2,5,CLE,NYJ,2,2,72,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,125.0
25,2020122704,2020-12-27,4,1,58,CLE,NYJ,3,2,72,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,118.0
26,2020122704,2020-12-27,4,1,38,CLE,NYJ,1,10,75,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,98.0
28,2020122705,2020-12-27,2,0,45,BAL,NYG,1,10,57,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,45.0
29,2020122705,2020-12-27,2,0,40,BAL,NYG,2,4,63,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,1,0,,40.0
30,2020122705,2020-12-27,2,0,34,BAL,NYG,3,4,63,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,34.0
31,2020122705,2020-12-27,4,4,18,BAL,NYG,2,10,85,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,258.0
32,2020122705,2020-12-27,4,3,29,BAL,NYG,3,3,92,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,209.0
33,2020122706,2020-12-27,1,12,47,CIN,HOU,1,10,57,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,1667.0
34,2020122706,2020-12-27,1,12,6,CIN,HOU,2,9,58,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1626.0
35,2020122706,2020-12-27,1,11,21,CIN,HOU,3,1,66,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,1581.0
36,2020122706,2020-12-27,1,10,41,CIN,HOU,1,10,69,15,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1541.0
37,2020122706,2020-12-27,1,10,0,CIN,HOU,1,10,84,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,1500.0
38,2020122706,2020-12-27,1,9,21,CIN,HOU,2,8,86,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1461.0
40,2020122706,2020-12-27,4,3,45,CIN,HOU,1,10,100,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,225.0
41,2020122707,2020-12-27,3,13,33,CHI,JAX,1,10,59,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1713.0
42,2020122707,2020-12-27,3,12,57,CHI,JAX,2,7,62,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1677.0
43,2020122707,2020-12-27,3,12,28,CHI,JAX,3,5,64,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,0,0,,1648.0
44,2020122707,2020-12-27,3,12,23,CHI,JAX,4,5,64,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1643.0
45,2020122707,2020-12-27,3,6,35,CHI,JAX,1,10,58,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1295.0
46,2020122707,2020-12-27,3,5,56,CHI,JAX,2,10,58,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1256.0
48,2020122707,2020-12-27,3,5,20,CHI,JAX,3,2,66,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1220.0
49,2020122707,2020-12-27,3,4,49,CHI,JAX,1,10,79,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1189.0
50,2020122707,2020-12-27,3,0,55,CHI,JAX,1,10,52,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,955.0
51,2020122707,2020-12-27,3,0,14,CHI,JAX,2,8,54,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,914.0
53,2020122707,2020-12-27,4,15,0,CHI,JAX,1,10,62,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,900.0
54,2020122707,2020-12-27,4,14,53,CHI,JAX,2,10,62,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,893.0
55,2020122707,2020-12-27,4,14,13,CHI,JAX,3,7,65,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,853.0
56,2020122709,2020-12-27,1,12,32,IND,PIT,1,10,58,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,1652.0
57,2020122709,2020-12-27,2,8,50,IND,PIT,1,10,84,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,530.0
58,2020122709,2020-12-27,4,7,48,PIT,IND,2,10,70,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,1,0,,468.0
59,2020122712,2020-12-27,3,9,41,DAL,PHI,1,9,91,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,1,0,CENTER,1481.0
60,2020122712,2020-12-27,3,9,19,DAL,PHI,1,4,96,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1459.0
61,2020122712,2020-12-27,3,8,41,DAL,PHI,2,3,97,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1421.0
65,2020122710,2020-12-27,4,7,23,WAS,CAR,1,10,57,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,443.0
66,2020122710,2020-12-27,4,7,16,WAS,CAR,2,10,57,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,0,0,,436.0
67,2020122710,2020-12-27,4,7,11,WAS,CAR,3,10,57,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,431.0
68,2020122710,2020-12-27,4,6,29,WAS,CAR,4,3,64,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,389.0
69,2020122710,2020-12-27,4,6,0,WAS,CAR,1,10,73,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,360.0
70,2020122710,2020-12-27,4,5,36,WAS,CAR,2,6,77,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,336.0
71,2020122710,2020-12-27,4,5,10,WAS,CAR,3,1,82,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,310.0
72,2020122710,2020-12-27,4,4,43,WAS,CAR,1,10,86,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,283.0
73,2020122710,2020-12-27,4,4,22,WAS,CAR,2,1,95,-7,NO HUDDLE SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,262.0
74,2020122711,2020-12-27,3,12,57,SEA,LA,1,10,77,-2,NO HUDDLE SHOTGUN,PASS,0,0,0,0,,1,0,0,0,0,,1677.0
75,2020122711,2020-12-27,3,12,13,SEA,LA,2,12,75,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1633.0
76,2020122711,2020-12-27,3,11,27,SEA,LA,3,9,78,18,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1587.0
78,2020122711,2020-12-27,3,9,4,LA,SEA,2,7,56,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1444.0
79,2020122711,2020-12-27,3,8,32,LA,SEA,3,3,60,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1412.0
80,2020122711,2020-12-27,3,7,56,LA,SEA,1,10,64,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,1376.0
81,2020122711,2020-12-27,3,7,12,LA,SEA,2,8,66,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1332.0
82,2020122711,2020-12-27,3,6,24,LA,SEA,1,10,88,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1284.0
83,2020122711,2020-12-27,3,5,43,LA,SEA,2,5,93,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1243.0
84,2021010301,2021-01-03,1,3,46,CAR,NO,1,10,63,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,1126.0
85,2021010301,2021-01-03,1,3,6,CAR,NO,2,6,67,25,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,0,0,,1086.0
88,2020122712,2020-12-27,4,2,45,DAL,PHI,1,10,77,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,1,0,LEFT TACKLE,165.0
90,2020122713,2020-12-27,2,1,26,TEN,GB,1,10,60,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,86.0
92,2021010303,2021-01-03,2,2,0,CIN,BAL,1,10,71,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,120.0
93,2021010303,2021-01-03,2,1,23,CIN,BAL,2,9,72,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,83.0
96,2021010306,2021-01-03,1,1,11,KC,LAC,2,10,66,18,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,971.0
97,2021010306,2021-01-03,1,0,28,KC,LAC,1,10,84,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,0,0,,928.0
98,2021010306,2021-01-03,1,0,23,KC,LAC,2,10,84,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,923.0
100,2021010306,2021-01-03,2,15,0,KC,LAC,3,7,87,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,900.0
101,2021010302,2021-01-03,3,1,21,CHI,GB,3,1,54,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,981.0
102,2021010302,2021-01-03,3,0,41,CHI,GB,4,1,54,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,941.0
103,2021010302,2021-01-03,4,14,8,CHI,GB,3,6,60,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,848.0
104,2021010302,2021-01-03,4,13,26,CHI,GB,4,1,65,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,806.0
105,2021010302,2021-01-03,4,12,46,CHI,GB,1,10,66,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,766.0
106,2021010302,2021-01-03,4,7,30,GB,CHI,2,2,57,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,450.0
107,2021010302,2021-01-03,4,6,53,GB,CHI,1,10,60,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,413.0
108,2021010302,2021-01-03,4,6,11,GB,CHI,2,6,64,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,371.0
109,2021010307,2021-01-03,4,7,38,NYJ,NE,3,1,58,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,458.0
110,2021010307,2021-01-03,4,7,30,NYJ,NE,4,1,58,1,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,450.0
111,2021010307,2021-01-03,4,6,52,NYJ,NE,1,10,59,-5,UNDER CENTER,PASS,0,0,0,0,,1,0,1,0,0,,412.0
112,2021010307,2021-01-03,4,6,48,NYJ,NE,2,10,59,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,408.0
113,2021010307,2021-01-03,4,6,8,NYJ,NE,1,10,71,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,368.0
114,2021010307,2021-01-03,4,6,3,NYJ,NE,2,10,71,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,363.0
115,2021010304,2021-01-03,3,9,31,PIT,CLE,1,10,64,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,1471.0
116,2021010304,2021-01-03,3,9,23,PIT,CLE,2,10,64,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,0,0,,1463.0
117,2021010304,2021-01-03,3,9,19,PIT,CLE,3,10,64,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,1459.0
118,2021010310,2021-01-03,2,5,52,ATL,TB,2,9,100,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,1,0,,352.0
119,2021010307,2021-01-03,2,2,7,NYJ,NE,1,10,51,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,127.0
121,2021010307,2021-01-03,2,2,0,NYJ,NE,2,9,52,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,120.0
122,2021010307,2021-01-03,3,3,40,NE,NYJ,2,5,74,2,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1120.0
123,2021010313,2021-01-03,1,5,52,IND,JAX,3,1,56,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,1252.0
124,2021010313,2021-01-03,1,5,7,IND,JAX,1,10,57,15,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,1207.0
125,2021010315,2021-01-03,4,2,28,SEA,SF,3,4,96,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,148.0
127,2021010315,2021-01-03,4,2,38,SEA,SF,2,4,96,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,158.0
129,2021010311,2021-01-03,2,4,49,LV,DEN,3,8,58,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,0,0,,289.0
130,2021010311,2021-01-03,2,4,55,LV,DEN,2,8,58,0,NO HUDDLE,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,295.0
131,2021010311,2021-01-03,2,5,45,LV,DEN,1,10,56,1,NO HUDDLE,RUSH,1,0,0,0,,0,0,1,1,0,LEFT GUARD,345.0
132,2021010311,2021-01-03,2,6,23,DEN,LV,4,1,62,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,383.0
133,2021010311,2021-01-03,2,7,3,DEN,LV,3,5,58,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,423.0
135,2021010311,2021-01-03,2,7,46,DEN,LV,2,5,58,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,466.0
136,2021010311,2021-01-03,2,11,21,LV,DEN,3,2,72,28,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,0,0,,681.0
137,2021010311,2021-01-03,2,12,1,LV,DEN,2,4,70,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,721.0
138,2021010311,2021-01-03,2,12,40,LV,DEN,1,10,64,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,760.0
139,2021010311,2021-01-03,2,12,48,LV,DEN,1,10,59,0,NO HUDDLE,PASS,0,1,1,0,SHORT RIGHT,0,0,0,1,0,,768.0
140,2021010311,2021-01-03,2,13,13,LV,DEN,2,2,54,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,793.0
142,2021010311,2021-01-03,2,14,11,DEN,LV,3,8,63,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,851.0
143,2021010311,2021-01-03,2,14,15,DEN,LV,2,8,63,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,855.0
144,2021010311,2021-01-03,2,14,54,DEN,LV,1,10,61,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,894.0
147,2021010311,2021-01-03,1,0,22,DEN,LV,1,1,99,1,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,0,0,,922.0
148,2021010311,2021-01-03,1,0,26,DEN,LV,3,3,97,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,1,0,,926.0
149,2021010311,2021-01-03,1,1,1,DEN,LV,2,9,91,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,961.0
150,2021010311,2021-01-03,1,1,37,DEN,LV,1,8,92,-1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,997.0
151,2021010311,2021-01-03,1,2,9,DEN,LV,2,9,63,29,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1029.0
152,2021010311,2021-01-03,1,2,53,DEN,LV,1,10,62,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1073.0
155,2021010311,2021-01-03,1,5,34,LV,DEN,3,15,85,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1234.0
156,2021010311,2021-01-03,1,6,9,LV,DEN,2,17,83,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT GUARD,1269.0
157,2021010311,2021-01-03,1,6,11,LV,DEN,1,17,83,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1271.0
160,2021010311,2021-01-03,1,9,12,DEN,LV,3,4,96,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,1452.0
161,2021010311,2021-01-03,1,9,52,DEN,LV,2,9,91,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT TACKLE,1492.0
162,2021010311,2021-01-03,1,9,58,DEN,LV,1,9,91,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,1498.0
163,2021010311,2021-01-03,1,10,39,DEN,LV,1,10,77,14,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1539.0
164,2021010311,2021-01-03,1,11,25,DEN,LV,3,2,60,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,1585.0
166,2021010311,2021-01-03,1,12,15,DEN,LV,1,10,52,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,1635.0
167,2021010313,2021-01-03,4,9,22,JAX,IND,3,1,100,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,562.0
169,2021010313,2021-01-03,4,3,44,IND,JAX,2,5,55,45,SHOTGUN,RUSH,1,0,0,1,,0,0,0,0,0,CENTER,224.0
170,2021010313,2021-01-03,4,4,26,IND,JAX,1,10,100,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,266.0
172,2021010313,2021-01-03,4,6,6,IND,JAX,3,11,55,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,,366.0
173,2021010313,2021-01-03,4,6,49,IND,JAX,2,12,54,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,,409.0
174,2021010313,2021-01-03,4,7,33,IND,JAX,1,10,56,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,453.0
175,2021010313,2021-01-03,4,9,56,JAX,IND,2,1,100,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,596.0
178,2021010313,2021-01-03,3,1,58,IND,JAX,2,10,63,19,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,1,0,0,0,,1018.0
179,2021010313,2021-01-03,3,2,36,IND,JAX,1,10,63,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT END,1056.0
181,2021010313,2021-01-03,3,6,32,JAX,IND,1,8,92,8,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,0,0,,1292.0
182,2021010313,2021-01-03,3,12,51,IND,JAX,3,5,67,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT TACKLE,1671.0
183,2021010313,2021-01-03,3,13,32,IND,JAX,2,11,61,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,CENTER,1712.0
184,2021010313,2021-01-03,3,14,13,IND,JAX,1,10,62,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,1753.0
187,2021010313,2021-01-03,2,0,6,IND,JAX,2,1,62,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,6.0
189,2021010313,2021-01-03,2,0,14,IND,JAX,1,10,53,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,14.0
193,2021010313,2021-01-03,2,0,31,JAX,IND,1,9,91,9,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,0,0,,31.0
194,2021010313,2021-01-03,2,0,55,JAX,IND,1,10,70,21,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,0,0,,55.0
195,2021010313,2021-01-03,2,1,18,JAX,IND,2,5,64,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,78.0
196,2021010313,2021-01-03,2,1,37,JAX,IND,1,10,59,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,97.0
197,2021010313,2021-01-03,2,2,0,JAX,IND,2,1,51,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,120.0
200,2021010313,2021-01-03,2,3,26,IND,JAX,3,3,94,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,RIGHT GUARD,206.0
201,2021010313,2021-01-03,2,4,5,IND,JAX,2,8,89,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,245.0
202,2021010313,2021-01-03,2,4,45,IND,JAX,1,10,87,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,LEFT END,285.0
205,2021010315,2021-01-03,4,0,22,SEA,SF,1,10,56,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,22.0
207,2021010315,2021-01-03,4,0,26,SF,SEA,1,3,97,3,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,0,0,,26.0
209,2021010315,2021-01-03,4,0,31,SF,SEA,3,2,83,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,31.0
210,2021010315,2021-01-03,4,0,36,SF,SEA,3,2,83,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,1,0,,36.0
211,2021010315,2021-01-03,4,0,40,SF,SEA,2,2,83,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,40.0
213,2021010315,2021-01-03,4,0,46,SF,SEA,1,10,75,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,46.0
214,2021010315,2021-01-03,4,1,4,SF,SEA,1,10,54,21,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,,64.0
215,2021010313,2021-01-03,2,5,29,IND,JAX,2,13,72,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,,329.0
219,2021010308,2021-01-03,4,1,24,DAL,NYG,3,17,83,0,SHOTGUN,PASS,0,1,0,0,INTENDED FOR,0,1,0,0,0,,84.0
221,2021010308,2021-01-03,4,1,28,DAL,NYG,2,17,83,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,0,0,,88.0
224,2021010313,2021-01-03,1,1,24,IND,JAX,3,4,96,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,,984.0
